a	а
handwritings	почерки
handwritten	рукописний
handy	зручно
hang	повісити
hang around	зависати
hang on	повісити
hang out	бовтатися
hang over	звисати
hang up	повісити
hangar	ангар
hangars	ангари
hangdog	повісити
hanger	вішалка
hangers	вішалки
hanging	висить
hangman	вішалка
hangmen	вешалки
hangnail	вішалка
hangover	похмілля
hangovers	похмілля
hangs	висить
hank	ханк
hanker	ханкер
hankered	похмурий
hankering	хакерство
hankers	ханкери
hankie	ханкі
hankies	ганки
hanky	хенкі
hansel	ганзель
hansom	хансом
hap	гап
haphazard	випадковість
hapless	нещасний
haploid	гаплоїдний
haply	радісно
happen	трапляються
happened	сталося
happening	відбувається
happenings	події
happens	буває
happier	щасливішим
happiest	найщасливіший
happily	щасливо
happiness	щастя
happing	гапіти
happy	щасливий
harangue	аранжу
harangued	пересторожений
harangues	аранжування
haranguing	домовлятися
harass	домагання
harassed	переслідували
harasser	домагання
harassing	цькування
harassment	цькування
harbinger	провісник
harbingers	провісники
harbor	гавань
harborage	багатство
harbour	гавань
harbourage	гарбураж
harbourages	гарбури
harboured	переживає
harbouring	гавані
harbours	гавані
hard	важко
hard and fast	важко і швидко
hard fisted	жорсткий кулак
hard labour	каторжна праця
hard of hearing	важко чути
hardcopies	копії
hardcover	тверда обкладинка
harden	затвердіти
hardened	загартоване
hardening	загартовування
hardens	твердне
harder	важче
hardest	найважче
hardhearted	працьовитий
hardier	твердіше
hardihood	твердість
hardiness	витривалість
hardly	навряд чи
hardness	твердість
hardship	негаразди
hardships	негаразди
hardware	обладнання
hardwareman	апаратник
hardworking	працьовитий
hardy	витривалий
hare	заєць
harebell	гаребель
harebrained	зайвий
harelip	гареліп
harem	гарем
hares	зайці
haricot	квасоля
hark	харк
harked	харк
harken	погіршити
harking	хакінг
harks	харки
harlequin	арлекін
harlot	блудниця
harlotry	блудниця
harlots	блудниці
harm	шкода
harmed	завдано шкоди
harmful	шкідливий
harmless	нешкідливий
harmonic	гармонійний
harmonica	гармошка
harmonical	гармонійний
harmonicas	гармоніки
harmonics	гармоніки
harmonies	гармоній
harmonious	гармонійний
harmonise	гармонізувати
harmonised	гармонізований
harmonises	гармонізує
harmonising	узгодження
harmonist	гармонік
harmonium	гармонія
harmonize	гармонізувати
harmony	гармонія
harms	шкоди
harness	джгут
harnessed	запряжений
harnesses	джгути
harnessing	запрягання
harp	арфа
harped	гурпатий
harpies	гарпії
harping	гаптування
harpist	арфіст
harpoon	гарпун
harpooned	гарпун
harpooning	гарпунінг
harpoons	гарпуни
harps	арфи
harpsichord	клавесин
harpsichords	клавесини
harpy	гарпі
harquebus	харкус
harridan	стара карга
harried	занепокоєний
harrier	гончак
harrow	борона
harrowing	боронування
harrows	борони
harry	гаррі
harrying	боляче
harsh	суворий
harsher	суворіше
harshest	суворіші
harshness	суворість
hart	харт
harvest	урожай
harvested	врожай
harvester	комбайн
harvesters	комбайни
harvesting	збирання врожаю
harvests	врожаї
has	має
hash	хеш
hashed	хеш
hasheesh	гашеш
hashes	хеші
hashing	хешування
hashish	гашиш
hashtag	хештег
hasp	хеш
hasps	оси
hassle	клопоту
hassled	клопотуться
hassles	клопоту
hassling	клопоту
hassock	хаскоп
haste	поспіх
hasted	поспішив
hasten	поспішати
hastened	поспішив
hastens	поспішає
hastier	поспішніша
hastiest	поспішніше
hastily	поспішно
hastiness	поспішність
hasting	ненависть
hasty	поспішний
hat	шапка
hatband	капелюшок
hatch	люк
hatched	вилупилися
hatchery	інкубатор
hatches	люки
hatchet	капелюшок
hatchets	капелюшки
hatching	штрихування
hatchment	люк
hatchway	люк
hate	ненависть
hated	ненавидів
hateful	ненависний
hatefulness	ненависть
hater	ненависниця
hates	ненавидить
hating	ненависть
hatred	ненависть
hats	шапки
hatter	ненависть
hatters	ненависники
hauberk	хауберк
haughtier	волохатий
haughtiness	гордовитість
haughty	гордовитий
haul	перетягування
haulage	перевезення
hauled	тягла
haulier	перевезення
hauling	перетягування
haulm	халява
hauls	тяги
haunch	ганяти
haunches	локони
haunt	переслідувати
haunted	привидами
haunting	переслідування
haunts	переслідує
have	мати
have a ball	мати м&#x27;&#x27;яч
have a good time	бажаю добре провести час
have intercourse	мати статевий акт
have on	мати на
haven	притулок
havens	притулки
haversack	гаверка
haversacks	гаверці
having	маючи
havoc	хаос
havocked	хаос
havocking	хаос
havocs	хаоси
haw	яструб
hawk	яструб
hawked	яструб
hawker	яструб
hawkers	яструби
hawking	хокінг
hawser	хоузер
hawthorn	глід
hay	сіно
haying	сінання
hays	сіна
haystack	копиця сіна
haystacks	стоги сіна
haywire	сіна
hazard	небезпека
hazarded	небезпечні
hazarding	небезпечні
hazardous	небезпечний
hazards	небезпеки
haze	серпанок
hazel	ліщина
hazelnut	фундук
hazelnuts	фундук
hazes	серпанки
hazier	туманніше
haziest	туманний
haziness	туманність
hazy	туманний
he	він
head	керівник
head off	голова
headache	головний біль
headaches	головні болі
headband	узголів’я
headdress	головний убір
headed	очолив
header	заголовок
headers	заголовки
headgear	головний убір
headier	головний убір
heading	заголовок
headings	заголовки
headland	головний убір
headlands	заголовки
headless	безголовий
headline	заголовок
headlines	заголовки
headlong	головою
headman	староста
headmaster	керівник
headmen	староста
headmistress	головний убір
headphone	навушники
headphones	навушники
headpiece	головний убір
headquartered	штаб-квартира
headquarters	штаб
heads	голів
headscarf	хустку
headset	гарнітура
headsets	гарнітури
headship	голова
headsman	староста
headsmen	старости
headstall	шевелюра
headstone	надгробок
headstrong	головний
headway	пробіг
headwear	головний убір
heady	п’янкий
heal	лікувати
healed	зцілився
healer	цілитель
healers	цілителі
healing	зцілення
heals	лікує
health	здоров&#x27;&#x27;я
healthful	здоровий
healthiest	найздоровіший
healthy	здоровий
healthy	здоровий
heap	купи
heaped	купив
heaping	нагромадження
heaps	купи
hear	чути
heard	почув
hearer	слухати
hearers	слухачі
hearing	слух
hearings	слухання
hearken	прислухатися
hearkened	почутий
hearkening	прослуховування
hears	чує
hearsay	з чуток
hearse	катафалк
hearses	чутки
heart	серце
heart attack	серцевий напад
heartache	душевний біль
heartaches	душевні болі
heartbeat	серцебиття
heartbeats	серцебиття
heartbreak	серцебиття
heartbreaking	серцеподібні
heartbroken	розбите серце
heartburn	печія
hearted	від душі
hearten	підбадьорювати
heartened	від душі
heartening	слухання
heartens	вогнища
heartfelt	сердечна
hearth	вогнище
hearths	вогнища
heartier	душі
hearties	душі
heartiest	найщиріша
heartily	від душі
heartiness	сердечність
heartless	бездушний
heartless	бездушний
heartrending	несерйозний
hearts	серця
heartsease	серцебиття
heartsick	сердечна
heartsickness	сердечність
heartsore	серця
hearty	сердечний
heat	тепло
heated	нагріті
heater	утеплювач
heaters	обігрівачі
heath	вереск
heathen	язичники
heathenish	язичницький
heathenism	язичництво
heather	вереск
heating	опалення
heats	нагріває
heatstroke	сонячний удар
heatwave	теплова хвиля
heave	піднести
heaved	важкий
heaven	небо
heavenly	небесний
heavenly body	небесне тіло
heavenly city	небесне місто
heavenly host	небесний господар
heavens	небеса
heavenward	небесне
heavenwards	небес
heaves	небеса
heavier	важчий
heaviest	найважчий
heavily	сильно
heaviness	важкість
heaving	піднесення
heavy	важкий
hebdomad	гебдомад
hebdomadal	гебдомадальний
hebetude	гебетуд
hebrew	іврит
hecate	гекате
hecatomb	гекатомб
heck	хек
heckle	хекла
heckled	хекли
heckles	гакли
heckling	хеклинг
hectare	га
hectares	га
hectic	неспокійний
hecto	гекто
hectograph	гектограф
hector	гектор
hedge	живоплот
hedge sparrow	живий горобець
hedged	оберігати
hedgehog	їжак
hedgehogs	їжачки
hedgerow	живоплот
hedges	живоплоти
hedging	хеджування
hedonic	гедонічний
hedonism	гедонізм
hedonist	гедоніст
hedonistic	гедоністичний
heed	прислухатися
heedful	уважний
heeding	вислуховування
heedless	необережний
heedlessly	необережно
heedlessness	безтурботність
heeds	хеді
heehaw	хехау
heel	каблук
heeled	на підборах
heeling	каблук
heels	підбори
heft	гаф
hefted	підняв
heftier	гефтьє
hefts	Гефти
hefty	здоровенний
hegemonic	гегемонічний
hegemonies	гегемонії
hegemony	гегемонія
hegira	гегіра
heifer	телиця
height	висоти
heighten	підвищити
heightened	посилений
heightening	загострення
heightens	посилює
heights	висоти
heinous	грізний
heir	спадкоємець
heiress	спадкоємиця
heiresses	спадкоємці
heirloom	реліквія
heirs	спадкоємці
held	проведено
held back	стримується
heliacal	геліакальний
helices	спіралі
helicon	гелікон
helicopter	вертоліт
helicopters	вертольоти
helio	геліо
heliocentric	геліоцентричний
heliolatry	геліолатрія
heliotherapy	геліотерапія
heliotrope	геліотроп
heliotropism	геліотропізм
helipad	вертоліт
heliport	вертоліт
helium	гелій
helix	спіраль
hell	пекло
hellcat	пекла
hellebore	чемериця
hellhound	пекла
hellish	пекельний
hello	Здравствуйте
hellos	привіт
hells	пекло
helm	кермо
helmet	шолом
helmets	шоломи
helminths	гельмінтів
helmsman	керманич
helmsmen	керманичі
helot	ілот
help	допомогу
helped	допомогли
helper	помічник
helpers	помічники
helpful	корисний
helpfully	корисно
helpfulness	корисність
helping	допомагаючи
helpless	безпорадний
helplessness	безпорадність
helpline	довідкова лінія
helpmate	довідник
helpmeet	довідка
helps	допомагає
helve	допомогти
helves	хелеви
hem	подол
hem in	подол
hemal	нагрівати
hematic	гематичний
hematite	гематит
hemi	гемі
hemicrania	гемікранія
hemisphere	півсфера
hemispheres	півкулі
hemistich	півкіль
hemlock	бадилля
hemlocks	бадилля
hemmed	підбитий
hemoglobin	гемоглобін
hemophilia	гемофілія
hemorrhage	крововиливи
hemorrhoid	геморой
hemorrhoids	геморой
hemp	коноплі
hempen	конопля
hemstitch	півкільця
hen	курка
henbane	курятина
hence	звідси
henceforth	відтепер
henceforward	відтепер
henchman	підручник
henchmen	підручники
hencoop	курник
hendecagon	одинадцятикутник
henhouse	курник
henna	хна
henpeck	курча
henpecked	курник
hens	кури
hep	п
hepatic	печінкові
hepatitis	гепатит
heptad	гептад
heptagon	шестикутник
her	її
herald	вісник
heraldry	геральдика
heralds	вісники
herb	трава
herbaceous	трав’янистий
herbage	трав&#x27;&#x27;янисті рослини
herbal	трав&#x27;&#x27;яні
herbalist	травник
herbaria	гербарії
herbarium	гербарій
herbariums	гербарії
herbicide	гербіцид
herbicides	гербіциди
herbivore	травоїдних
herbs	трави
herculean	геркулесовий
herd	стадо
herded	загнаний
herding	скотарство
herds	стада
herdsman	пастух
herdsmen	пастухи
here	тут
hereabout	відтепер
hereabouts	сюди
hereafter	надалі
hereat	Хрест
hereby	цим
hereditament	спадковість
hereditary	спадкові
heredity	спадковість
herein	тут
herein before	тут раніше
hereinafter	далі
hereinbefore	раніше
hereof	цих положень
heresy	єресь
heretic	єретик
heretical	єретичні
heretics	єретики
hereto	тут
heretofore	раніше
hereunder	далі
hereupon	далі
herewith	цим
heritable	спадковий
heritage	спадщина
heritages	спадщини
heritor	геритор
hermaphrodite	гермафродити
hermaphrodites	гермафродити
hermaphroditic	гермафродитні
hermeneutics	герменевтика
hermetic	герметичний
hermit	відлюдник
hermitage	Ермітаж
hermits	відлюдників
hernia	грижа
hernias	грижі
hero	герой
heroes	героїв
heroic	героїчний
heroical	героїчний
heroin	героїн
heroine	героїня
heroines	героїнь
heroism	героїзм
heron	чапля
herons	чаплі
herpes	герпес
herpetology	герпетологія
herr	гер
herring	оселедець
herrings	оселедці
hers	її
herself	сама себе
hertz	герц
hesitance	вагання
hesitancy	нерішучість
hesitant	вагається
hesitantly	нерішуче
hesitate	вагайтесь
hesitated	вагався
hesitates	вагається
hesitating	вагаючись
hesitatingly	вагаючись
hesitation	вагання
hesitations	вагання
hesperian	гесперіанський
hessian	гессіан
het	геть
het up	геть
hetaera	гетера
hetero	гетеро
heterodox	гетеродокс
heterodoxy	гетеродокси
heterodyne	гетеродин
heterogeneity	неоднорідність
heterogeneous	неоднорідний
heterosexual	гетеросексуальні
heterosexuality	гетеросексуальність
heuristic	евристичний
hew	гай
hewed	висічений
hewer	теса
hewn	тесаний
hews	осередок
hex	шестигранний
hexa	гекса
hexachord	шестигранник
hexad	шестикутник
hexadecimal	шістнадцятковий
hexagon	шестикутник
hexagonal	шестикутний
hexagons	шестикутники
hexahedron	шестигранник
hexameter	гекзаметр
hey	ей
heyday	розквіт
hi	Привіт
hiatus	перерва
hiatus	перерва
hiatuses	перерви
hibernal	сплячка
hibernate	сплячий
hibernated	сплячий
hibernates	сплячки
hibernating	зимуючий
hibiscus	гібіскус
hic jacet	хік джеце
hiccough	гикавка
hiccoughed	відкашлявся
hiccoughing	гикавка
hiccup	гикавка
hick	хик
hickey	хіка
hickory	хікорі
hicks	хіки
hid	сховав
hidden	приховано
hide	ховатися
hideaway	укриття
hidebound	прихований
hided	ховали
hideous	огидний
hideously	прикро
hideout	укриття
hideouts	укриття
hides	ховається
hiding	ховаючись
hiding place	схованка
hidrosis	гідроз
hie	гнати
hierarch	ієрарх
hierarchal	ієрархальний
hierarchic	ієрархічний
hierarchical	ієрархічний
hierarchies	ієрархії
hierarchy	ієрархія
hieratic	ієратичний
hieroglyph	ієрогліф
hieroglyphic	ієрогліфічний
hierophant	ієрофант
higgle	гігл
higgling	вигулювання
high	високий
high born	високороджений
high court	Верховний Суд
high point	висока точка
high tide	прилив
high water	багатоводдя
highborn	високонароджений
highbred	висококровний
highbrow	високорослий
highcoloured	висококольорова
higher	вище
highest	найвищий
highfalutin	високофалутин
highfaluting	високорозвинені
highhanded	висококровний
highland	високогір&#x27;&#x27;я
highlands	високогір&#x27;&#x27;я
highlight	виділити
highly	високо
highminded	високопомітний
highness	високість
highroad	магістраль
highs	максимуми
hight	висота
highway	шосе
highwayman	дорожник
highwaymen	дорожники
highways	шосе
hijack	викрадення
hijacker	викрадач
hijackers	викрадачів
hijacks	викрадення
hike	похід
hiked	похід
hikes	походи
hilarious	веселий
hilarity	веселість
hill	пагорб
hillier	холмер
hilling	горбання
hillock	бугор
hillocks	горбики
hills	пагорби
hillside	схил схилу
hilltop	вершина пагорба
hilltops	вершини пагорбів
hilly	горбиста
hilt	рукоятка
hilts	горбики
him	його
himself	самого себе
hind	задніх
hinder	перешкода
hindered	перешкоджала
hindering	перешкоджаючи
hinders	перешкоджає
hindmost	задній край
hindquarters	задня частина
hindrance	перешкода
hindrances	перешкоди
hinds	задніх
hindsight	задній огляд
hinge	шарнір
hinged	навісний
hinges	петлі
hinging	шарнір
hint	натяк
hinted	натякнув
hinterland	глибинку
hinterlands	глибинки
hinting	натяк
hints	натяки
hip	стегна
hipped	стегна
hipper	хіпер
hippest	гіпп
hippie	хіпі
hippies	хіпі
hippo	бегемот
hippocampus	гіпокамп
hippodrome	іподром
hippopotamus	бегемот
hippy	хіпі
hips	стегна
hipster	хіпстер
hipsters	хіпстери
hiragana	хірагана
hircine	гірцин
hire	наймати
hired	найняли
hireling	наймання
hires	наймає
hiring	наймання
hirsute	гирсут
his	його
hiss	шипіння
histamine	гістамін
historian	історик
historic	історичні
historical	історичні
history	історія
histrionic	істріонічний
hit	хіт
hitch	причіпка
hitchhike	автостопом
hither	сюди
hive	вулик
hives	вулики
ho	хо
hoarding	приховування
hoarse	хрипкий
hoary	сірий
hoax	обман
hob	варильна поверхня
hobble	хлюпати
hobby	хобі
hobbyhorse	хобі-коня
hobgoblin	хобгоблін
hobnail	нігтя
hobnob	коник
hock	скакати
hockey	хокей
hod	ход
hodgepodge	халява
hoe	мотика
hog	свиня
hogshead	свинячий голова
hoist	підйомник
hold	тримати
holder	держатель
holding	проведення
hole	отвір
holiday	свято
holiness	святість
holler	холер
hollow	порожнистий
holly	Холлі
hollyhock	мальва
holmium	гольмію
holocaust	голокост
holograph	голограф
holster	кобура
holy	святий
homage	шанування
home	додому
homely	домашній
homeopathy	гомеопатія
homey	домашній
homicide	вбивства
homily	проповідь
homing	самонаведення
hominy	омовій
homo	гомо
homogeneous	однорідний
homograph	гомограф
homologous	гомологічний
homonym	омонім
homophone	омофон
homosexual	гомосексуаліст
hone	відточити
honest	чесний
honey	мед
honeycomb	соти
honeymoon	медовий місяць
honk	гудок
honorarium	почесний
honorary	почесний
honorific	почесний
hood	капюшон
hoodlum	худлюм
hoodwink	обдурювати
hoof	копит
hook	гачок
hooligan	хуліган
hoop	обруч
hoopla	хоопла
hooray	ура
hoot	гудок
hoover	гувер
hooves	копита
hop	скакайте
hope	сподіватися
hopeful	з надією
hopeless	безнадійний
hopper	бункер
horde	орда
horizon	горизонт
hormone	гормон
horn	ріг
hornet	шершнем
hornpipe	роговий труба
horology	горологія
horoscope	гороскоп
horrendous	жахливий
horrible	жахливий
horrid	жахливий
horrific	жахливий
horrify	жахнути
horror	жах
horse	кінь
horticulture	садівництво
hose	шланг
hosier	шкарпетка
hospice	хоспіс
hospitable	гостинна
hospital	лікарня
hospitality	гостинність
host	господар
hostage	заручник
hostel	Хостел
hostess	господиня
hostile	ворожий
hostility	неприязнь
hot	гарячий
hotel	готель
hound	гончак
hour	година
houri	Хурі
hourly	щогодини
house	будинок
housing	житло
hove	ховати
hovel	завиток
hover	завис
how	як
howitzer	гаубиця
howl	виють
hoyden	Хойден
hub	хаб
hubby	гомін
hubris	похмілля
huckster	хакер
huddle	тулитися
hue	відтінок
huff	хаф
hug	обійняти
huge	величезний
hulk	Халк
hull	корпус
hullabaloo	хуллабалу
hum	гул
human	людські
humane	гуманний
humanism	гуманізм
humanist	гуманіст
humanitarian	гуманітарний
humanity	людство
humanize	олюднювати
humble	смиренний
humbug	хамб
humdrum	бурмотіння
humerus	плечової кістки
humid	вологий
humiliate	принижувати
humility	смиренність
hummingbird	колібрі
hummock	гамак
humorist	гуморист
humorous	жартівливий
hump	горб
humph	хумф
humus	перегною
hunch	жувати
hundred	сотня
hung	висів
hunger	голод
hungry	голодний
hunk	хунк
hunkers	мисливці
hunt	полювати
huntsman	мисливець
hurdle	перешкода
hurl	бурчати
hurrah	ура
hurricane	ураган
hurry	поспішайте
hurt	боляче
hurtle	бурчати
husband	чоловік
husbandman	хуторянин
hush	тиша
husk	лушпиння
husky	хаскі
hussar	гусар
hussy	хаси
hustings	хустини
hustle	суєта
hut	хата
hutch	хата
hyacinth	гіацинт
hybrid	гібридний
hydra	гідра
hydrangea	гортензія
hydrant	гідрант
hydrate	гідрат
hydraulic	гідравлічний
hydroelectric	гідроелектрик
hydrofoil	гідроплан
hydrogen	водень
hydrometer	гідрометр
hydrophobia	гідрофобія
hydroplane	гідроплан
hydroponics	гідропоніка
hyena	гієна
hygiene	гігієна
hymen	дівочий край
hymn	гімн
hyperactive	гіперактивний
hyperbola	гіпербола
hyperbole	гіпербола
hypercritical	гіперкритичний
hypermarket	гіпермаркет
hypersensitive	гіперчутливий
hypertension	гіпертонія
hyphen	дефіс
hypnosis	гіпноз
hypo	гіпо
hypochondria	іпохондрія
hypocrisy	лицемірство
hypodermic	підшкірний
hypotenuse	гіпотенуза
hypothermia	переохолодження
hypothesis	гіпотеза
hypothesize	гіпотезувати
hyssop	ісоп
hysterectomy	гістеректомія
hysteria	істерія
ice	лід
icicle	бурулька
icing	обмерзання
icon	значок
icy	крижаний
idea	ідея
ideal	ідеал
idealism	ідеалізм
idealize	ідеалізувати
idem	ідем
identical	однакові
identify	ідентифікувати
identikit	ідентифікат
identity	особистість
ideogram	ідеограма
ideology	ідеологія
idiocy	ідіотизм
idiom	ідіома
idiosyncrasy	ідіосинкразія
idiot	ідіот
idle	простоювати
idol	кумир
idyll	ідилія
if	якщо
igloo	іглу
igneous	магматичний
ignite	запалити
ignoble	невідомий
ignominious	ганебний
ignominy	безчестя
ignoramus	невіглас
ignorance	незнання
ignorant	неосвічений
ignore	ігнорувати
iguana	ігуана
ilk	нерозумно
ill	хворий
illegal	незаконні
illegible	нерозбірливий
illiberal	неліберальний
illicit	незаконний
illimitable	недоброзичливий
illiterate	неграмотні
illness	хвороба
illnesses	хвороби
illogical	нелогічно
illuminate	освітлити
illusion	ілюзія
illusive	ілюзивний
illustrate	ілюструвати
illustrious	видатний
image	зображення
imaginable	уявний
imaginary	уявний
imagination	уява
imagine	уявіть
imbalance	дисбаланс
imbecile	імбецил
imbibe	усмоктувати
imbroglio	імброгліо
imbue	проникнути
imitate	наслідувати
imitation	наслідування
imitative	наслідувальний
immaculate	непорочний
immanent	іманентний
immaterial	нематеріальний
immature	незрілий
immeasurable	незмірна
immediate	негайне
immemorial	споконвічний
immense	неосяжний
immerse	занурити
immigrate	іммігрувати
imminent	неминучий
immobile	нерухомий
immoderate	нескромний
immodest	нескромний
immolate	непорушний
immoral	аморальний
immortal	безсмертний
immovable	нерухомий
immune	імунітет
immure	застрахувати
immutable	непорушний
imp	імп
impact	вплив
impair	погіршити
impala	імпала
impale	нанизувати
impalpable	незграбний
impanel	інеліювати
impartial	неупереджений
impassable	непрохідний
impasse	тупік
impassive	бездушний
impatient	нетерплячий
impeach	імпічмент
impeccable	бездоганний
impecunious	зухвалий
impedance	опір
impediment	перешкода
impel	спонукати
impending	насувається
impenetrable	непроникний
impenitent	нестримний
imperative	імператив
imperceptible	непомітний
imperfect	недосконалий
imperial	імперський
imperialism	імперіалізм
imperil	зазіхати
imperious	владний
imperishable	нетлінний
impermanent	непостійний
impermeable	непроникний
impersonal	безособовий
impersonate	видати себе
impertinent	невмілий
imperturbable	незворушний
impervious	непроникний
impetigo	імпетиго
impetuous	поривчастий
impetus	поштовх
impiety	безбожність
impinge	зачіпання
impish	нерозумний
implant	імплантат
implement	здійснити
implicate	вразливий
implication	наслідки
implicit	неявна
implore	благати
imply	мати на увазі
impolite	неввічливий
imponderable	неправдоподібний
import	імпорт
important	важливий
importunate	важливий
importune	важлива
impose	накладати
imposition	накладення
impossible	неможливо
impostor	самозванець
imposture	безсилля
impotent	безсилий
impound	затримати
impoverish	збідніти
impracticable	нездійсненне
impractical	непрактично
imprecation	просочення
imprecise	неточність
imprecision	неточність
impregnable	неприступний
impregnate	просочувати
impresario	імпресаріо
impress	вражати
impression	враження
impressionable	вражаючий
impressive	вражаюче
imprimatur	імприматур
imprint	відбиток
imprison	тюрма
improbable	неймовірне
impromptu	експромт
improper	неналежний
impropriety	недоречність
improve	покращити
improvident	нерозумний
improvise	імпровізувати
imprudent	необачний
impudent	нахабний
impugn	нахабний
impulse	порив
impulsion	імпульс
impunity	безкарність
impure	нечистий
impute	вносити
in	в
inability	нездатність
inaccessible	недоступний
inaccurate	неточні
inaction	бездіяльність
inactive	неактивний
inadequate	неадекватний
inadmissible	неприпустимий
inadvertent	ненароком
inalienable	невідчужувані
inane	іне
inanimate	неживий
inapplicable	не застосовується
inapt	недоторканий
inarticulate	нерозчленований
inattention	неуважність
inaudible	нечутний
inaugural	вступний
inaugurate	відкрити
inauspicious	невмілий
inboard	на борту
inborn	вроджений
inbound	вхідний
inbred	вроджений
inbuilt	вбудований
incalculable	незліченний
incandescent	розжарювання
incantation	заклинання
incapable	нездатний
incapacitate	недієздатний
incapacity	недієздатність
incarcerate	ув&#x27;&#x27;язнений
incarnate	втілюються
incarnation	втілення
incautious	необережний
incendiary	запальний
incense	пахощі
incentive	стимул
inception	створення
incertitude	непохитність
incessant	невпинний
incest	інцест
inch	дюйм
inchoate	вживати
incidence	захворюваність
incident	інцидент
incidental	випадкові
incinerate	спалювати
incipient	починаючий
incise	надріз
incisive	підрізний
incisor	різці
incite	підбурювати
incivility	безкорисливість
inclement	нахил
inclination	нахил
incline	нахил
include	включати
inclusive	включно
incognito	інкогніто
incoherent	непослідовний
incombustible	негорючі
income	дохід
incoming	вхідний
incommensurate	непомірний
incommode	невлаштований
incommunicable	незламний
incommunicado	безпричинний
incomparable	незрівнянний
incompatible	несумісні
incompetent	некомпетентний
incomplete	неповний
incomprehensible	незрозумілий
incomprehension	нерозуміння
inconceivable	немислимий
inconclusive	непереконливий
incongruous	несовісний
inconsiderable	незначний
inconsiderate	непомітний
inconsistent	непослідовний
inconsolable	невтішний
inconspicuous	непомітний
inconstant	непостійний
incontestable	незаперечний
incontinent	нестримний
incontrovertible	непереборний
inconvenience	незручність
incorporate	включити
incorporeal	безсильний
incorrect	неправильно
incorrigible	непоправний
incorruptible	нетлінний
increase	збільшити
incredible	неймовірно
incredulous	недовірливий
increment	приріст
incriminate	звинувачувати
incrustation	інкрустація
incubate	інкубувати
incubus	інкуб
inculcate	прищеплювати
inculpable	незламний
inculpate	прищеплювати
incumbent	діючий
incur	понести
incurable	невиліковний
incurious	нецензурно
incursion	вторгнення
indebted	заборгованість
indecent	непристойний
indecipherable	нерозбірливий
indecision	нерішучість
indecisive	нерішучий
indecorous	невгамовний
indeed	справді
indefatigable	невтомний
indefeasible	нездійсненний
indefensible	невиправданий
indefinite	невизначений
indelible	незгладимий
indelicate	відмежувати
indemnify	компенсувати
indemnity	відшкодування збитків
indent	відступ
indenture	відступ
independence	незалежність
independent	незалежний
indescribable	невимовно
indestructible	незнищенний
indeterminate	невизначений
index	покажчик
indicate	вказувати
indicative	орієнтовний
indicator	показник
indices	індекси
indict	обвинувальний акт
indifference	байдужість
indifferent	байдужий
indigenous	корінні
indigent	невмілий
indigestible	неперетравна
indigestion	нетравлення
indignant	обурений
indignation	обурення
indignity	покірність
indigo	Індіго
indirect	непрямі
indiscernible	непомітний
indiscipline	недисциплінарність
indiscreet	нерозбірливий
indiscriminate	безрозбірливий
indispensable	незамінний
indisposed	нездужання
indisposition	нездужання
indisputable	незаперечний
indissoluble	нерозривний
indistinct	невиразний
indistinguishable	невідрізний
indite	невиразний
individual	індивідуальний
individualism	індивідуалізм
individuality	індивідуальність
individualize	індивідуалізувати
indoctrinate	індоктринати
indolent	безглуздий
indomitable	незламний
indoor	критий
indoors	в приміщенні
indubitable	непереборний
induce	спонукати
induct	спонукати
induction	індукція
inductive	індуктивний
indulge	балувати
indulgence	поблажливість
industrial	промислові
industrious	працьовитий
industry	промисловість
inebriate	нестримний
inedible	неїстівний
ineffable	неефективний
ineffective	неефективна
ineffectual	неефективна
inefficient	неефективна
inelastic	нееластичний
inelegant	неелегантний
ineligible	невідповідний
ineluctable	непримиренний
inept	невмілий
inequality	нерівність
inequitable	нерівний
ineradicable	незламний
inert	інертний
inescapable	неминучий
inessential	несуттєві
inestimable	неоціненний
inevitable	неминучий
inexact	неточний
inexcusable	невиправданий
inexhaustible	невичерпний
inexorable	невблаганний
inexpedient	недоцільний
inexpensive	недорого
inexperience	недосвідченість
inexpert	недосвідчений
inexpiable	незбагненний
inexplicable	незрозуміле
inexpressible	невимовний
inextinguishable	невимовний
inextricable	нерозривний
infallible	непогрішний
infamous	сумнозвісний
infancy	немовляти
infant	немовля
infanticide	інфантицид
infantile	інфантильний
infantry	піхота
infatuate	надувати
infect	заразити
infection	інфекція
infectious	інфекційний
infer	робити висновок
inferior	неповноцінний
infernal	інфернальний
inferno	пекельний
infertile	безплідний
infest	заражати
infidel	невірний
infidelity	невірність
infighting	бійка
infiltrate	проникнути
infinite	нескінченний
infinitive	інфінітив
infinitude	нескінченність
infinity	нескінченність
infirm	немічний
infirmary	лазарет
inflame	запалення
inflammable	запальний
inflammation	запалення
inflammatory	запальний
inflate	надути
inflect	надувати
inflection	перегин
inflexible	негнучка
inflict	завдавати
inflorescence	суцвіття
inflow	приплив
influence	вплив
influential	впливовий
influenza	грип
influx	приплив
inform	інформувати
informal	неофіційний
information	інформація
informative	інформативний
infotainment	інформаційні розваги
infra	інфра
infraction	порушення
infrequent	нечасто
infringe	посягати
infuriate	розлючений
infuse	настоювати
infusion	настій
ingenious	геніальний
ingenue	винахідливість
ingenuous	винахідливий
ingest	приймати всередину
inglorious	безславний
ingot	злиток
ingrained	вкорінений
ingrate	вкорінювати
ingratiate	невмілий
ingratitude	невдячність
ingredient	інгредієнт
ingress	проникнення
ingrowing	вростання
inhabit	населяти
inhale	вдихати
inharmonious	негармонічний
